ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
035201711251925207,Bergamo, VIA SAN GIOVANNI BOSCO rot inters. circPaltriniano via Don Bosco dir.Orio,,,,"(45.6819, 9.6786)"
035201711250115208,Bergamo, SS671 svincolo rotonda per Curnasco,,,,"(45.676, 9.6567)"
035201711251530209,Bergamo, ROTATORIA VIA PER ORIO all'intersezione con SVINCOLO 671,,,,"(45.6769, 9.6683)"
035201711251850210,Bergamo, S.P. 671 Km 4.8 direzione Curno,,,,"(45.676, 9.6577)"
035201711252225211,Bergamo, VIA MONTE ORTIGARA in prossimità del civico n.7,,,,"(45.7006, 9.6703)"
035201711241745212,Bergamo, VIA TREMANA in prossimità del civico n.13,,,,"(45.7129, 9.6822)"
035201711241300213,Bergamo, VIA BETTY AMBIVERI in corrispondenza del civico n.5,,,,"(45.6821, 9.6765)"
035201711241940214,Bergamo, VIA SAN BERNARDINO all'intersezione semaforizzata con CIRCONV. POMPINIANO,,,,"(45.6827, 9.6622)"
035201711241250215,Bergamo, ROTATORIA CARDUCCI all'intersezione con VIA GAUDENZI,,,,"(45.6893, 9.656)"
035201711241120216,Bergamo, VIA CORRIDONI F. all'intersezione con VIA QUINTO ALPINI,,,,"(45.7079, 9.6921)"
035201711241100217,Bergamo, DON BOSCO in prossimità del civico n.7,,,,"(45.6882, 9.6715)"
035201711241910218,Bergamo, VIA DE OSA in corrispondenza del civico n.8,,,,"(45.7089, 9.6768)"
035201711231430219,Bergamo, VIA EUROPA all'intersezione semaforizzata con VIA GAVAZZENI,,,,"(45.6896, 9.6801)"
035201711230015220,Bergamo, SANT ALESSANDRO in prossimità del civico n.52,,,,"(45.6951, 9.6644)"
035201711230746221,Bergamo, CIRCONVALLAZIONE MUGAZZONE palo luce 64,,,,"(45.6909, 9.6901)"
035201711221830222,Bergamo, VIA BORGO PALAZZO in prossimità del civico n.82,,,,"(45.6955, 9.6852)"
035201711221810223,Bergamo, VIA GARIBALDI in corrispondenza del civico n.16/A,,,,"(45.6956, 9.662)"
035201711221130224,Bergamo, S.P. 671 svincolo che adduce verso l'ospedale,,,,"(45.6847, 9.6304)"
035201711220715225,Bergamo, VIA DELLE VALLI prossimità Q8,,,,"(45.6981, 9.695)"
035201711220720226,Bergamo, VIA DELLE VALLI palo luce 22 direzione Curno,,,,"(45.698, 9.6949)"
035201711221045227,Bergamo, CAMOZZI all'intersezione semaforizzata con VIA STOPPANI,,,,"(45.6962, 9.6748)"
035201711221535228,Bergamo, VIA GLENO in corrispondenza del civico n.54,,,,"(45.6949, 9.7068)"
035201711211500229,Bergamo, VIA MONTE ORTIGARA lato opposto civico 13,,,,"(45.7007, 9.6705)"
035201711211530230,Bergamo, VIA ZANICA in corrispondenza del civico n.69,,,,"(45.6799, 9.6727)"
